id,group,label
achiote,10,achiote
achiote seeds,10,achiote seeds
acidic foods and flavors ,23,acidic foods and flavors 
afghan cuisine,0,afghan cuisine
african,0,african
african ,23,african 
african cuisine,0,african cuisine
aged foods ,23,aged foods 
aioli,20,aioli
aioli ,23,aioli 
alcohol,23,alcohol
ale or beer,14,ale or beer
allspice,10,allspice
almonds,12,almonds
almonds and almond paste,23,almonds and almond paste
alsatian cuisine,23,alsatian cuisine
amaretti cookie crumbs,23,amaretti cookie crumbs
amaretto,14,amaretto
american cuisine,23,american cuisine
ancho chili powder,10,ancho chili powder
anchovies,4,anchovies
anchovy,4,anchovy
andouille sausage ,23,andouille sausage 
angelica,14,angelica
anise,10,anise
anise hyssop,10,anise hyssop
anise seeds,17,anise seeds
anise seeds and anise hyssop,23,anise seeds and anise hyssop
"anise, star",10,"anise, star"
anisette,23,anisette
anything else.,23,anything else.
apple,23,apple
apple brandy,23,apple brandy
apple cider,11,apple cider
apple cider or juice,11,apple cider or juice
apple juice,11,apple juice
applejack,14,applejack
apples,11,apples
apples ,23,apples 
apples and apple cider,11,apples and apple cider
apples and apple juice,23,apples and apple juice
apples and apple juice or cider,11,apples and apple juice or cider
apples and applesauce,23,apples and applesauce
apricot brandy,14,apricot brandy
apricots,11,apricots
apricots ,23,apricots 
apricots — in general,11,apricots — in general
"apricots, dried",11,"apricots, dried"
aquavit,23,aquavit
arabic cuisine,23,arabic cuisine
argentinian cuisine,0,argentinian cuisine
armagnac,14,armagnac
aroma,21,aroma
arrowroot,13,arrowroot
artichoke,9,artichoke
artichoke hearts,9,artichoke hearts
artichokes,9,artichokes
"artichokes, jerusalem",9,"artichokes, jerusalem"
arugula,9,arugula
asian cuisine,0,asian cuisine
asian cuisines,0,asian cuisines
asparagus,9,asparagus
asparagus ,23,asparagus 
"asparagus, white",9,"asparagus, white"
astringency,21,astringency
australian cuisine,0,australian cuisine
austrian cuisine,0,austrian cuisine
avocado,11,avocado
avocadoes,11,avocadoes
avocados,11,avocados
avoid,22,avoid
bacon,2,bacon
bacon / lardons,23,bacon / lardons
bacon and other cured meats ,23,bacon and other cured meats 
bacon and pancetta,23,bacon and pancetta
baked beans,3,baked beans
baked dishes ,23,baked dishes 
baked dishes and goods,0,baked dishes and goods
baked goods,0,baked goods
baked goods ,23,baked goods 
baking,23,baking
baking powder,22,baking powder
baking soda,22,baking soda
balance,21,balance
bamboo shoots,23,bamboo shoots
banana liqueur,14,banana liqueur
bananas,11,bananas
bananas ,23,bananas 
barbecue,0,barbecue
barbecue dishes,23,barbecue dishes
barbecue rub,10,barbecue rub
barbecue sauce,20,barbecue sauce
barbecued foods,0,barbecued foods
barley,15,barley
basil,10,basil
basil ,23,basil 
basil and thai basil,10,basil and thai basil
"basil, thai",10,"basil, thai"
bass,4,bass
"bass, black",4,"bass, black"
"bass, sea",4,"bass, sea"
"bass, striped weight: medium",4,"bass, striped weight: medium"
bay leaf,10,bay leaf
bay leaves,23,bay leaves
bay scallop dish.,23,bay scallop dish.
bean sprouts,23,bean sprouts
beans,3,beans
beans ,23,beans 
beans — in general,3,beans — in general
"beans, black",3,"beans, black"
"beans, cannellini",3,"beans, cannellini"
"beans, fava",3,"beans, fava"
"beans, flageolet",3,"beans, flageolet"
"beans, green",3,"beans, green"
"beans, kidney",3,"beans, kidney"
"beans, lima",3,"beans, lima"
"beans, navy",3,"beans, navy"
"beans, pinto",3,"beans, pinto"
"beans, red",3,"beans, red"
"beans, white",3,"beans, white"
béarnaise sauce,20,béarnaise sauce
béchamel sauce,20,béchamel sauce
beef,2,beef
beef ,23,beef 
beef — brisket,2,beef — brisket
beef — cheeks,2,beef — cheeks
beef — in general,2,beef — in general
beef — kobe,2,beef — kobe
beef — loin,2,beef — loin
beef — oxtails,2,beef — oxtails
beef — ribs,2,beef — ribs
beef — roast,2,beef — roast
beef — round,2,beef — round
beef — shank,2,beef — shank
beef — short ribs,2,beef — short ribs
beef — steak: filet mignon,2,beef — steak: filet mignon
beef — steak: flank,2,beef — steak: flank
beef — steak: hanger,2,beef — steak: hanger
beef — steak: in general,2,beef — steak: in general
beef — steak: rib eye,2,beef — steak: rib eye
beef — steak: skirt,2,beef — steak: skirt
beef consommé,23,beef consommé
beef stew,0,beef stew
beefeater,23,beefeater
beer,14,beer
beer / ale,23,beer / ale
beer or ale,14,beer or ale
beet greens,9,beet greens
beet juice,23,beet juice
beets,9,beets
belgian cuisine,0,belgian cuisine
bell pepper,5,bell pepper
bell peppers,23,bell peppers
berries,11,berries
berries — in general,11,berries — in general
beurre blanc,23,beurre blanc
beverages,22,beverages
beverages ,23,beverages 
biryani,0,biryani
biscotti,23,biscotti
biscuit,23,biscuit
bitterness,21,bitterness
bitters,14,bitters
blackberries,11,blackberries
black-eyed peas,3,black-eyed peas
blini,0,blini
blood orange,23,blood orange
bloody marys,14,bloody marys
blueberries,11,blueberries
bluefish,4,bluefish
boar,2,boar
bok choy,9,bok choy
bold-flavored foods,23,bold-flavored foods
bonito,23,bonito
bonito flakes,23,bonito flakes
bonito flakes ,23,bonito flakes 
"bonito flakes, dried",4,"bonito flakes, dried"
borage,23,borage
borscht,23,borscht
bottarga ,23,bottarga 
bouillabaisse,0,bouillabaisse
bouquet garni,22,bouquet garni
bouquet garni ,23,bouquet garni 
bourbon,14,bourbon
boysenberries,11,boysenberries
braised dishes,22,braised dishes
brandade,0,brandade
brandies,23,brandies
brandy,14,brandy
brazilian cuisine,0,brazilian cuisine
bread,15,bread
bread ,23,bread 
bread and bread crumbs,23,bread and bread crumbs
bread and croutons,23,bread and croutons
bread and other baked goods,23,bread and other baked goods
bread crumbs,15,bread crumbs
bread crumbs / panko,15,bread crumbs / panko
bread crumbs or cracker crumbs,23,bread crumbs or cracker crumbs
bread crumbs or panko,15,bread crumbs or panko
breads,15,breads
breads and breadsticks,23,breads and breadsticks
breakfast,0,breakfast
breakfast ,23,breakfast 
breakfast / brunch,0,breakfast / brunch
brined dishes,22,brined dishes
brines,23,brines
brioche,15,brioche
brioche or challah,15,brioche or challah
british cuisine,0,british cuisine
broccoli,9,broccoli
broccoli rabe,9,broccoli rabe
broccolini,9,broccolini
broiled dishes,23,broiled dishes
broths,23,broths
brown butter,19,brown butter
brown butter sauce,20,brown butter sauce
brussels sprouts,9,brussels sprouts
buckwheat,15,buckwheat
buckwheat ,23,buckwheat 
bulgur wheat,15,bulgur wheat
burmese cuisine,23,burmese cuisine
butter,19,butter
butter and butter sauces,20,butter and butter sauces
butter and butter sauces ,23,butter and butter sauces 
butter and butter-based sauces and dishes,20,butter and butter-based sauces and dishes
butter sauces,20,butter sauces
"butter, brown",19,"butter, brown"
buttermilk,19,buttermilk
butterscotch,18,butterscotch
cabbage,9,cabbage
cabbage ,23,cabbage 
cabbage — in general,9,cabbage — in general
"cabbage, napa",9,"cabbage, napa"
"cabbage, red",9,"cabbage, red"
"cabbage, savoy",9,"cabbage, savoy"
cabernet sauvignon,14,cabernet sauvignon
caesar salad,23,caesar salad
café con leche,23,café con leche
caffeine,22,caffeine
caffeine ,23,caffeine 
cajun cuisine,0,cajun cuisine
cajun/creole cuisines,0,cajun/creole cuisines
cake,18,cake
cakes,18,cakes
calamari,4,calamari
calvados,14,calvados
cambodian cuisine,0,cambodian cuisine
campari,23,campari
canadian cuisine,0,canadian cuisine
candies,18,candies
candy,18,candy
cantaloupe,11,cantaloupe
caperberries,23,caperberries
capers,10,capers
caponata,23,caponata
caramel,18,caramel
caraway,10,caraway
caraway seed,17,caraway seed
caraway seeds,10,caraway seeds
cardamom,10,cardamom
cardamom ,10,cardamom 
caribbean cuisine,0,caribbean cuisine
carpaccio,0,carpaccio
carribbean cuisine,0,carribbean cuisine
carrot,23,carrot
carrot juice,9,carrot juice
carrots,9,carrots
carrots and carrot juice,9,carrots and carrot juice
cashews,12,cashews
cashews ,23,cashews 
casseroles,23,casseroles
cassis,14,cassis
cassoulet,0,cassoulet
catfish,4,catfish
cauliflower,9,cauliflower
cauliflower ,23,cauliflower 
caviar,4,caviar
caviar and other fish roe,23,caviar and other fish roe
cayenne,10,cayenne
"cayenne, ground",10,"cayenne, ground"
celery,9,celery
celery and celery leaves,23,celery and celery leaves
celery and celery salt,23,celery and celery salt
celery and celery seeds,17,celery and celery seeds
celery and leaves,23,celery and leaves
celery leaf,9,celery leaf
celery leaves,9,celery leaves
celery leaves or seeds,23,celery leaves or seeds
celery or celery seeds,23,celery or celery seeds
celery root,9,celery root
celery salt,10,celery salt
celery seed,10,celery seed
celery seeds,17,celery seeds
central american cuisine,0,central american cuisine
ceviche,23,ceviche
chai,10,chai
chamomile,10,chamomile
champagne,14,champagne
chanterelles,7,chanterelles
character,23,character
charcuterie,0,charcuterie
chard,9,chard
chard ,23,chard 
chardonnay,14,chardonnay
chartreuse,23,chartreuse
chayote,9,chayote
cheese,1,cheese
cheese ,23,cheese 
cheese — in general,1,cheese — in general
cheese and cheese dishes,1,cheese and cheese dishes
cheese and cheese sauces,20,cheese and cheese sauces
cheese dishes,1,cheese dishes
"cheese, asiago",1,"cheese, asiago"
"cheese, azeitao",1,"cheese, azeitao"
"cheese, blue",1,"cheese, blue"
"cheese, brie",1,"cheese, brie"
"cheese, burrata",1,"cheese, burrata"
"cheese, cabrales",1,"cheese, cabrales"
"cheese, camembert",1,"cheese, camembert"
"cheese, cheddar",1,"cheese, cheddar"
"cheese, colby",1,"cheese, colby"
"cheese, comté",1,"cheese, comté"
"cheese, cow’s milk — in general",1,"cheese, cow’s milk — in general"
"cheese, emmental",1,"cheese, emmental"
"cheese, époisses",1,"cheese, époisses"
"cheese, explorateur",1,"cheese, explorateur"
"cheese, feta",1,"cheese, feta"
"cheese, fontina",1,"cheese, fontina"
"cheese, fromage blanc",1,"cheese, fromage blanc"
"cheese, garrotxa",1,"cheese, garrotxa"
"cheese, goat — fresh",1,"cheese, goat — fresh"
"cheese, goat’s milk — in general",1,"cheese, goat’s milk — in general"
"cheese, gorgonzola",1,"cheese, gorgonzola"
"cheese, gouda",1,"cheese, gouda"
"cheese, gruyère",1,"cheese, gruyère"
"cheese, hoja santa",1,"cheese, hoja santa"
"cheese, jack",1,"cheese, jack"
"cheese, mahon",1,"cheese, mahon"
"cheese, manchego",1,"cheese, manchego"
"cheese, monterey jack",1,"cheese, monterey jack"
"cheese, mozzarella",1,"cheese, mozzarella"
"cheese, muenster",1,"cheese, muenster"
"cheese, parmesan",1,"cheese, parmesan"
"cheese, pecorino",1,"cheese, pecorino"
"cheese, piave",1,"cheese, piave"
"cheese, provolone",1,"cheese, provolone"
"cheese, reblochon",1,"cheese, reblochon"
"cheese, ricotta",1,"cheese, ricotta"
"cheese, roquefort",1,"cheese, roquefort"
"cheese, sheep’s milk — in general",1,"cheese, sheep’s milk — in general"
"cheese, stilton",1,"cheese, stilton"
"cheese, swiss",1,"cheese, swiss"
"cheese, taleggio",1,"cheese, taleggio"
"cheese, triple crème",1,"cheese, triple crème"
"cheese, vacherin",1,"cheese, vacherin"
"cheese, valdeon",1,"cheese, valdeon"
"cheese, vermont shepherd",1,"cheese, vermont shepherd"
cheesecake,1,cheesecake
cheeses,23,cheeses
cheeses ,23,cheeses 
chermoula),23,chermoula)
cherries,11,cherries
cherries — in general,11,cherries — in general
cherry pie,23,cherry pie
chervil,10,chervil
chervil.,23,chervil.
chestnuts,12,chestnuts
chicken,2,chicken
chicken ,23,chicken 
chicken and other poultry,2,chicken and other poultry
chicken fat,23,chicken fat
chicken livers,2,chicken livers
chicken mousse,23,chicken mousse
chickpeas,3,chickpeas
chickpeas ,23,chickpeas 
chickpeas and hummus,3,chickpeas and hummus
chicories,23,chicories
chicory,13,chicory
chile pepper,5,chile pepper
chile peppers,5,chile peppers
chile peppers ,23,chile peppers 
chile peppers — in general,5,chile peppers — in general
"chile peppers, anaheim",5,"chile peppers, anaheim"
"chile peppers, ancho",5,"chile peppers, ancho"
"chile peppers, chipotle",5,"chile peppers, chipotle"
"chile peppers, guajillo",5,"chile peppers, guajillo"
"chile peppers, habanero",5,"chile peppers, habanero"
"chile peppers, jalapeño",5,"chile peppers, jalapeño"
"chile peppers, pasilla",5,"chile peppers, pasilla"
"chile peppers, piments d’espelette",5,"chile peppers, piments d’espelette"
"chile peppers, poblano",5,"chile peppers, poblano"
"chile peppers, serrano",5,"chile peppers, serrano"
chilean cuisine,0,chilean cuisine
chiles,5,chiles
chiles rellenos,5,chiles rellenos
chili,5,chili
chili ,23,chili 
chili con carne,23,chili con carne
chili oil,23,chili oil
chili paste,5,chili paste
chili powder,10,chili powder
chili powder ,23,chili powder 
chili sauce,20,chili sauce
chilled dishes and beverages,23,chilled dishes and beverages
chinese cuisine,0,chinese cuisine
chinese cuisine ,23,chinese cuisine 
chives,10,chives
chives ,23,chives 
chocolate,11,chocolate
chocolate / cocoa,10,chocolate / cocoa
chocolate / cocoa — in general,10,chocolate / cocoa — in general
chocolate and cocoa,10,chocolate and cocoa
chocolate and cocoa powder,10,chocolate and cocoa powder
chocolate toffee,18,chocolate toffee
"chocolate, white",18,"chocolate, white"
chorizo,2,chorizo
choucroute,23,choucroute
chowders,23,chowders
chowders ,23,chowders 
christmas,22,christmas
chutney,0,chutney
chutneys,0,chutneys
cider,11,cider
cilantro,10,cilantro
cilantro ,23,cilantro 
cilantro.,23,cilantro.
cinnamon,10,cinnamon
cinnamon basil,10,cinnamon basil
citron,23,citron
citrus,11,citrus
citrus ,23,citrus 
citrus — in general,11,citrus — in general
citrus and citrus zest,11,citrus and citrus zest
citrus fruit,11,citrus fruit
citrus fruits,23,citrus fruits
citrus zest,11,citrus zest
clam juice,4,clam juice
clams,4,clams
clams and clam juice,23,clams and clam juice
clementines,23,clementines
clove,10,clove
cloves,10,cloves
cloves ,23,cloves 
cobblers,0,cobblers
coca-cola,23,coca-cola
cocktail sauce,20,cocktail sauce
cocktails,23,cocktails
cocoa,10,cocoa
cocoa powder,10,cocoa powder
coconut,11,coconut
coconut ,23,coconut 
coconut and coconut milk,11,coconut and coconut milk
coconut and coconut milk ,23,coconut and coconut milk 
coconut milk,19,coconut milk
coconut milk ,23,coconut milk 
coconuts,11,coconuts
cod,4,cod
"cod, black",4,"cod, black"
"cod, salt",4,"cod, salt"
coffee,10,coffee
coffee / espresso,10,coffee / espresso
coffee and espresso,11,coffee and espresso
coffee/espresso,23,coffee/espresso
cognac,14,cognac
cointreau,14,cointreau
cola,23,cola
cold cuts,23,cold cuts
cold dishes,23,cold dishes
coldness,21,coldness
coleslaw,0,coleslaw
coleslaw ,23,coleslaw 
collard greens,23,collard greens
combination of the three is delicious.,23,combination of the three is delicious.
compatible with virtually all other herbs.,23,compatible with virtually all other herbs.
confit ,23,confit 
cookies,0,cookies
cooking,23,cooking
cooking ,23,cooking 
cooling,21,cooling
coriander,10,coriander
coriander seeds,23,coriander seeds
corn,9,corn
corn and cornmeal,23,corn and cornmeal
corn and masa,15,corn and masa
corn bread,23,corn bread
corn syrup,18,corn syrup
corn tortilla chips that have been sweetened with powdered sugar,23,corn tortilla chips that have been sweetened with powdered sugar
corned beef,2,corned beef
corned beef and cabbage,0,corned beef and cabbage
cornichons,9,cornichons
cornish game hens,2,cornish game hens
cornmeal,15,cornmeal
cornmeal ,23,cornmeal 
course of a menu as a piece of music having a melody,23,course of a menu as a piece of music having a melody
couscous,15,couscous
"couscous, israeli",15,"couscous, israeli"
crab,4,crab
crab and crab cakes,23,crab and crab cakes
crab roe,4,crab roe
"crab, soft-shell",4,"crab, soft-shell"
crabs,23,crabs
cranberries,11,cranberries
cranberry juice,23,cranberry juice
crawfish,4,crawfish
crayfish,4,crayfish
cream,19,cream
cream ,23,cream 
cream / milk,19,cream / milk
cream and cream sauces,20,cream and cream sauces
cream and cream-based sauces,23,cream and cream-based sauces
cream and cream-based sauces and dishes,20,cream and cream-based sauces and dishes
cream and ice cream,19,cream and ice cream
cream and milk,19,cream and milk
cream and sour cream,23,cream and sour cream
cream cheese,1,cream cheese
cream of tartar,23,cream of tartar
cream or milk,19,cream or milk
cream sauces,20,cream sauces
crème anglaise,19,crème anglaise
crème anglaise ,19,crème anglaise 
crème de cassis,19,crème de cassis
crème de menthe,19,crème de menthe
crème fraîche,19,crème fraîche
creole cuisine,0,creole cuisine
croutons,23,croutons
croutons ,23,croutons 
crudités,0,crudités
crudités ,23,crudités 
crust,15,crust
cuban cuisine,0,cuban cuisine
cucumber,9,cucumber
cucumbers,9,cucumbers
cumin,10,cumin
cumin ,23,cumin 
cumin seeds,23,cumin seeds
curaçao,23,curaçao
cured foods,23,cured foods
cured meats,2,cured meats
cured meats ,23,cured meats 
cures,23,cures
currants,11,currants
currants ,23,currants 
curries,0,curries
curries ,23,curries 
curries and curry powder,10,curries and curry powder
curries and curry powders,23,curries and curry powders
curry,0,curry
curry ,23,curry 
curry and curry leaf,10,curry and curry leaf
curry leaf,23,curry leaf
curry leaves,10,curry leaves
curry leaves ,23,curry leaves 
curry paste,20,curry paste
curry pastes and curries,23,curry pastes and curries
curry powder,10,curry powder
curry powder ,23,curry powder 
curry powder and sauces,10,curry powder and sauces
curry powder or sauce,23,curry powder or sauce
curry sauce,20,curry sauce
custard,19,custard
custards,19,custards
custards ,23,custards 
cut the fat of the dish,23,cut the fat of the dish
daikon,9,daikon
dandelion greens,23,dandelion greens
dark chocolate–jalapeño ice cream sundae,19,dark chocolate–jalapeño ice cream sundae
dashi,0,dashi
dashi ,23,dashi 
dates,11,dates
deep-fry,23,deep-fry
delicate dishes,23,delicate dishes
delicate fish,4,delicate fish
delicate fish ,23,delicate fish 
desserts,0,desserts
desserts ,23,desserts 
desserts and dessert sauces,23,desserts and dessert sauces
dill,10,dill
dips,0,dips
dishes,0,dishes
dressings,23,dressings
dried fruits,11,dried fruits
duck,2,duck
duck and duck confit,23,duck and duck confit
duck confit,2,duck confit
duck fat,2,duck fat
duck prosciutto,23,duck prosciutto
dulce de leche,19,dulce de leche
dumplings,0,dumplings
earl grey tea,23,earl grey tea
east asian cuisine,23,east asian cuisine
eastern european cuisine,0,eastern european cuisine
eastern european cuisines,0,eastern european cuisines
eastern mediterranean ,23,eastern mediterranean 
eastern mediterranean cuisine,0,eastern mediterranean cuisine
edamame,23,edamame
egg,2,egg
egg dishes,0,egg dishes
egg dishes ,23,egg dishes 
egg salad,23,egg salad
egg whites,23,egg whites
egg yolks,2,egg yolks
eggnog,19,eggnog
eggplant,9,eggplant
eggs,2,eggs
eggs ,23,eggs 
eggs and egg- based dishes — in general,23,eggs and egg- based dishes — in general
eggs and egg dishes,0,eggs and egg dishes
eggs and egg dishes ,23,eggs and egg dishes 
eggs and egg salad,0,eggs and egg salad
eggs and egg yolks,23,eggs and egg yolks
"eggs, frittata",2,"eggs, frittata"
"eggs, hard-boiled",2,"eggs, hard-boiled"
egyptian cuisine,23,egyptian cuisine
elderflower syrup,18,elderflower syrup
emulsions,23,emulsions
enchiladas,0,enchiladas
endive,9,endive
endive ,23,endive 
english cuisine,0,english cuisine
epazote,10,epazote
escarole,9,escarole
escolar,4,escolar
espelette,5,espelette
ethiopian cuisine,0,ethiopian cuisine
european cuisine,23,european cuisine
european cuisines,0,european cuisines
extra-virgin olive oil,6,extra-virgin olive oil
falafel,0,falafel
falafel ,23,falafel 
faro,23,faro
farro,15,farro
fat,2,fat
fattier foods,23,fattier foods
fava beans,3,fava beans
fennel,9,fennel
fennel bulb,9,fennel bulb
fennel leaves,9,fennel leaves
fennel leaves or seeds,23,fennel leaves or seeds
fennel pollen,10,fennel pollen
fennel seeds,10,fennel seeds
fenugreek,10,fenugreek
fenugreek leaves,23,fenugreek leaves
fenugreek seeds,17,fenugreek seeds
fermented black beans,3,fermented black beans
fermented foods,23,fermented foods
fermented pineapple peel drink,23,fermented pineapple peel drink
fiddlehead ferns,9,fiddlehead ferns
figs,11,figs
figs ,23,figs 
figs and fig cake,0,figs and fig cake
"figs, dried",11,"figs, dried"
"figs, fresh",11,"figs, fresh"
fines herbes,10,fines herbes
fines herbes ,23,fines herbes 
finishing dishes,23,finishing dishes
finnan haddie,23,finnan haddie
fish,4,fish
fish ,23,fish 
fish — in general,4,fish — in general
fish sauce,20,fish sauce
five-spice powder,10,five-spice powder
five-spice powder ,23,five-spice powder 
flageolets,23,flageolets
flounder,4,flounder
flour,23,flour
flour ,23,flour 
flourless chocolate cake,0,flourless chocolate cake
flowers,23,flowers
fluke,23,fluke
focaccia,23,focaccia
foie gras,2,foie gras
fondue,1,fondue
fondues,1,fondues
framboise,23,framboise
french basque cuisine,0,french basque cuisine
french cuisine,0,french cuisine
french cuisine — in general,0,french cuisine — in general
"french cuisine, northern",0,"french cuisine, northern"
"french cuisine, southern",0,"french cuisine, southern"
french pastries,0,french pastries
french toast,0,french toast
fresh fruit,11,fresh fruit
freshness,21,freshness
fried dishes,23,fried dishes
fried foods,23,fried foods
frisée,9,frisée
frisée lettuce,23,frisée lettuce
fromage blanc,23,fromage blanc
fruit,11,fruit
fruit and fruit preserves,23,fruit and fruit preserves
fruit crisp,23,fruit crisp
fruit juice,23,fruit juice
